Protocol,Src IP,Src Port,Dst IP,Dst Port,Init Ts,Last Ts,Ts,Duration,Mac Addr,Type
ICMPv6,fe80::212:7407:7:707,0,fe80::212:7409:9:909,0,31:01.7,31:05.1,1622120000000000.0,3368307,"{'00:12:74:09:00:09:09:09', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7408:8:808,0,ff02::1a,0,31:02.7,31:02.7,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:08:00:08:08:08'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7406:6:606,0,31:02.9,31:02.9,1622120000000000.0,12916,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7407:7:707,0,31:02.9,31:06.5,1622120000000000.0,3593750,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7406:6:606,0,31:03.0,31:03.0,1622120000000000.0,0,"{'00:12:74:06:00:06:06:06', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7402:2:202,0,31:03.4,31:03.4,1622120000000000.0,12535,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:02:00:02:02:02'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7408:8:808,0,31:03.5,31:05.6,1622120000000000.0,2177764,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7402:2:202,0,31:03.5,31:03.5,1622120000000000.0,0,"{'00:12:74:08:00:08:08:08', '00:12:74:02:00:02:02:02'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7403:3:303,0,31:04.2,31:04.3,1622120000000000.0,49349,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7403:3:303,0,31:04.4,31:04.4,1622120000000000.0,0,"{'00:12:74:03:00:03:03:03', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7402:2:202,6666,31:04.9,31:05.0,1622120000000000.0,47568,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:02:00:02:02:02'}",Normal
UDP,::212:7401:1:101,5555,::212:7408:8:808,6666,31:05.0,31:05.0,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
UDP,::212:7401:1:101,5555,::212:7406:6:606,6666,31:05.1,31:05.1,1622120000000000.0,45863,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7404:4:404,0,ff02::1a,0,31:05.2,31:05.2,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:04:00:04:04:04'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7405:5:505,0,31:05.5,31:05.6,1622120000000000.0,81719,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
WPAN,0,0,0,0,31:05.5,31:10.5,1622120000000000.0,4958599,set(),Normal
ICMPv6,fe80::212:7402:2:202,0,ff02::1a,0,31:05.6,31:05.6,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:02:00:02:02:02'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7405:5:505,0,31:05.7,31:05.7,1622120000000000.0,0,"{'00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
UDP,::212:7401:1:101,5555,::212:7405:5:505,6666,31:06.0,31:06.0,1622120000000000.0,45273,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
ICMPv6,fe80::212:7406:6:606,0,ff02::1a,0,31:06.1,31:06.1,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:06:00:06:06:06'}",Normal
ICMPv6,::212:7401:1:101,0,::212:740b:b:b0b,0,31:06.4,31:06.5,1622120000000000.0,31668,"{'00:12:74:01:00:01:01:01', '00:12:74:0b:00:0b:0b:0b', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:740a:a:a0a,6666,31:06.5,31:11.2,1622120000000000.0,4726563,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,::212:7401:1:101,0,::212:740b:b:b0b,0,31:06.6,31:06.6,1622120000000000.0,0,"{'00:12:74:0b:00:0b:0b:0b', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7403:3:303,6666,31:06.8,31:06.9,1622120000000000.0,25869,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7407:7:707,6666,31:06.9,31:06.9,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:740a:a:a0a,0,ff02::1a,0,31:06.9,31:06.9,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:0a:00:0a:0a:0a'}",Normal
ICMPv6,fe80::212:7407:7:707,0,fe80::212:7409:9:909,0,31:07.5,31:08.3,1622120000000000.0,782319,"{'00:12:74:09:00:09:09:09', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7403:3:303,0,ff02::1a,0,31:07.7,31:07.7,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:03:00:03:03:03'}",Normal
ICMPv6,fe80::212:7407:7:707,0,ff02::1a,0,31:07.8,31:07.8,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7405:5:505,0,ff02::1a,0,31:07.8,31:07.8,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:05:00:05:05:05'}",Normal
UDP,::212:7401:1:101,5555,::212:740b:b:b0b,6666,31:08.8,31:13.8,1622120000000000.0,4976916,"{'00:12:74:01:00:01:01:01', '00:12:74:0b:00:0b:0b:0b', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:740b:b:b0b,0,ff02::1a,0,31:08.9,31:08.9,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:0b:00:0b:0b:0b'}",Normal
UDP,::212:7401:1:101,5555,::212:7404:4:404,6666,31:09.3,31:09.3,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
UDP,::212:7401:1:101,5555,::212:7406:6:606,6666,31:10.2,31:14.8,1622120000000000.0,4627674,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7402:2:202,6666,31:10.5,31:15.2,1622120000000000.0,4750694,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:02:00:02:02:02'}",Normal
UDP,::212:7401:1:101,5555,::212:7408:8:808,6666,31:10.8,31:10.8,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
WPAN,0,0,0,0,31:10.8,31:15.2,1622120000000000.0,4445653,set(),Normal
UDP,::212:7401:1:101,5555,::212:7405:5:505,6666,31:11.6,31:16.0,1622120000000000.0,4365452,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
ICMPv6,fe80::212:7401:1:101,0,ff02::1a,0,31:11.6,31:11.6,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:01:00:01:01:01'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7409:9:909,0,31:12.2,31:12.2,1622120000000000.0,13650,"{'00:12:74:09:00:09:09:09', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7407:7:707,0,31:12.3,31:12.3,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7403:3:303,6666,31:12.3,31:17.3,1622120000000000.0,4955537,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,::212:7401:1:101,0,::212:7409:9:909,0,31:12.3,31:12.3,1622120000000000.0,0,"{'00:12:74:09:00:09:09:09', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7407:7:707,6666,31:12.7,31:12.7,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7406:6:606,0,ff02::1a,0,31:13.9,31:13.9,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:06:00:06:06:06'}",Normal
UDP,::212:7401:1:101,5555,::212:7404:4:404,6666,31:15.0,31:19.9,1622120000000000.0,4945298,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
UDP,::212:7401:1:101,5555,::212:7409:9:909,6666,31:15.1,31:19.9,1622120000000000.0,4818291,"{'00:12:74:09:00:09:09:09', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7402:2:202,0,ff02::1a,0,31:15.3,31:15.3,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:02:00:02:02:02'}",Normal
ICMPv6,fe80::212:7403:3:303,0,ff02::1a,0,31:15.5,31:15.5,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:03:00:03:03:03'}",Normal
WPAN,0,0,0,0,31:15.9,31:20.7,1622120000000000.0,4779516,set(),Normal
ICMPv6,fe80::212:7409:9:909,0,ff02::1a,0,31:16.0,31:16.0,1622120000000000.0,0,"{'00:12:74:09:00:09:09:09', '0x0000ffff'}",Normal
UDP,::212:7401:1:101,5555,::212:7408:8:808,6666,31:16.2,31:16.2,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
ICMPv6,fe80::212:740b:b:b0b,0,ff02::1a,0,31:16.3,31:16.3,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:0b:00:0b:0b:0b'}",Normal
ICMPv6,fe80::212:7405:5:505,0,ff02::1a,0,31:16.9,31:16.9,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:05:00:05:05:05'}",Normal
UDP,::212:7401:1:101,5555,::212:740a:a:a0a,6666,31:16.9,31:21.9,1622120000000000.0,4937468,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
UDP,::212:7401:1:101,5555,::212:7407:7:707,6666,31:17.8,31:17.8,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:740b:b:b0b,6666,31:18.9,31:18.9,1622120000000000.0,23792,"{'00:12:74:01:00:01:01:01', '00:12:74:0b:00:0b:0b:0b', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7408:8:808,0,ff02::1a,0,31:19.6,31:19.6,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:08:00:08:08:08'}",Normal
UDP,::212:7401:1:101,5555,::212:7406:6:606,6666,31:19.9,31:20.0,1622120000000000.0,61306,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7405:5:505,6666,31:20.6,31:20.6,1622120000000000.0,37327,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
UDP,::212:7401:1:101,5555,::212:7402:2:202,6666,31:20.7,31:25.6,1622120000000000.0,4956881,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:02:00:02:02:02'}",Normal
UDP,::212:7401:1:101,5555,::212:7408:8:808,6666,31:21.3,31:21.3,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
WPAN,0,0,0,0,31:21.3,31:26.2,1622120000000000.0,4866522,set(),Normal
ICMPv6,fe80::212:740a:a:a0a,0,ff02::1a,0,31:21.3,31:21.3,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:0a:00:0a:0a:0a'}",Normal
ICMPv6,fe80::212:7404:4:404,0,ff02::1a,0,31:21.4,31:21.4,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:04:00:04:04:04'}",Normal
ICMPv6,fe80::212:7409:9:909,0,ff02::1a,0,31:21.6,31:21.6,1622120000000000.0,0,"{'00:12:74:09:00:09:09:09', '0x0000ffff'}",Normal
UDP,::212:7401:1:101,5555,::212:7403:3:303,6666,31:22.4,31:22.4,1622120000000000.0,41474,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7407:7:707,0,ff02::1a,0,31:22.6,31:22.6,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7407:7:707,6666,31:23.1,31:23.1,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:740b:b:b0b,6666,31:24.0,31:28.5,1622120000000000.0,4547245,"{'00:12:74:01:00:01:01:01', '00:12:74:0b:00:0b:0b:0b', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7406:6:606,6666,31:25.0,31:25.0,1622120000000000.0,41721,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7409:9:909,6666,31:25.0,31:29.6,1622120000000000.0,4638603,"{'00:12:74:09:00:09:09:09', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7404:4:404,6666,31:25.4,31:25.4,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
ICMPv6,fe80::212:7406:6:606,0,ff02::1a,0,31:25.9,31:25.9,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:06:00:06:06:06'}",Normal
UDP,::212:7401:1:101,5555,::212:7405:5:505,6666,31:26.0,31:26.1,1622120000000000.0,21702,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
UDP,::212:7401:1:101,5555,::212:740a:a:a0a,6666,31:26.2,31:26.2,1622120000000000.0,0,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
UDP,::212:7401:1:101,5555,::212:7408:8:808,6666,31:26.5,31:31.2,1622120000000000.0,4695297,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
WPAN,0,0,0,0,31:26.5,31:31.3,1622120000000000.0,4788396,set(),Normal
ICMPv6,fe80::212:7405:5:505,0,ff02::1a,0,31:27.2,31:27.2,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:05:00:05:05:05'}",Normal
UDP,::212:7401:1:101,5555,::212:7403:3:303,6666,31:27.5,31:27.5,1622120000000000.0,41474,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7403:3:303,0,ff02::1a,0,31:27.8,31:27.8,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:03:00:03:03:03'}",Normal
UDP,::212:7401:1:101,5555,::212:7407:7:707,6666,31:28.6,31:33.0,1622120000000000.0,4414063,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7402:2:202,0,ff02::1a,0,31:29.8,31:29.8,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:02:00:02:02:02'}",Normal
UDP,::212:7401:1:101,5555,::212:7406:6:606,6666,31:30.5,31:30.5,1622120000000000.0,18282,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7404:4:404,6666,31:30.5,31:30.5,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
UDP,::212:7401:1:101,5555,::212:7402:2:202,6666,31:31.1,31:35.8,1622120000000000.0,4703818,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:02:00:02:02:02'}",Normal
UDP,::212:7401:1:101,5555,::212:740a:a:a0a,6666,31:31.3,31:31.3,1622120000000000.0,0,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
UDP,::212:7401:1:101,5555,::212:7405:5:505,6666,31:31.6,31:31.7,1622120000000000.0,29529,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
WPAN,0,0,0,0,31:31.6,31:36.6,1622120000000000.0,4997341,set(),Normal
UDP,::212:7401:1:101,5555,::212:7403:3:303,6666,31:32.9,31:32.9,1622120000000000.0,41474,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:740b:b:b0b,0,ff02::1a,0,31:33.5,31:33.5,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:0b:00:0b:0b:0b'}",Normal
UDP,::212:7401:1:101,5555,::212:740b:b:b0b,6666,31:33.8,31:38.5,1622120000000000.0,4760302,"{'00:12:74:01:00:01:01:01', '00:12:74:0b:00:0b:0b:0b', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7409:9:909,6666,31:33.9,31:38.6,1622120000000000.0,4698858,"{'00:12:74:09:00:09:09:09', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7406:6:606,6666,31:35.7,31:40.4,1622120000000000.0,4713594,"{'00:12:74:06:00:06:06:06', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7404:4:404,6666,31:35.9,31:35.9,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
UDP,::212:7401:1:101,5555,::212:740a:a:a0a,6666,31:36.6,31:36.6,1622120000000000.0,0,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
UDP,::212:7401:1:101,5555,::212:7408:8:808,6666,31:36.7,31:41.3,1622120000000000.0,4585938,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08'}",Normal
WPAN,0,0,0,0,31:36.7,31:41.5,1622120000000000.0,4797214,set(),Normal
UDP,::212:7401:1:101,5555,::212:7405:5:505,6666,31:36.9,31:41.5,1622120000000000.0,4568594,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:05:00:05:05:05'}",Normal
UDP,::212:7401:1:101,5555,::212:7407:7:707,6666,31:37.4,31:37.4,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
ICMPv6,fe80::212:7409:9:909,0,ff02::1a,0,31:38.2,31:38.2,1622120000000000.0,0,"{'00:12:74:09:00:09:09:09', '0x0000ffff'}",Normal
UDP,::212:7401:1:101,5555,::212:7403:3:303,6666,31:38.5,31:38.5,1622120000000000.0,41488,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7404:4:404,6666,31:41.1,31:41.1,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:04:00:04:04:04'}",Normal
UDP,::212:7401:1:101,5555,::212:7402:2:202,6666,31:41.1,31:41.1,1622120000000000.0,24131,"{'00:12:74:01:00:01:01:01', '00:12:74:08:00:08:08:08', '00:12:74:02:00:02:02:02'}",Normal
UDP,::212:7401:1:101,5555,::212:740a:a:a0a,6666,31:41.8,31:41.8,1622120000000000.0,0,"{'00:12:74:0a:00:0a:0a:0a', '00:12:74:01:00:01:01:01'}",Normal
WPAN,0,0,0,0,31:41.8,31:46.6,1622120000000000.0,4740314,set(),Normal
ICMPv6,fe80::212:7401:1:101,0,ff02::1a,0,31:42.5,31:42.5,1622120000000000.0,0,"{'0x0000ffff', '00:12:74:01:00:01:01:01'}",Normal
UDP,::212:7401:1:101,5555,::212:7407:7:707,6666,31:43.3,31:43.3,1622120000000000.0,0,"{'00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
UDP,::212:7401:1:101,5555,::212:7403:3:303,6666,31:43.8,31:43.8,1622120000000000.0,11873,"{'00:12:74:03:00:03:03:03', '00:12:74:01:00:01:01:01', '00:12:74:07:00:07:07:07'}",Normal
